         SolutionId            SourceId          Description
8022076041857990769 1442204663146978048 SDSSJ133641.20+225052.3
8022076041857990769 1049283840675717504 2MASSJ10361255+6244018
8022076041857990769 1420420696391309440 SDSSJ171559.19+551103.8
8022076041857990769 1158683121631039232 SDSSJ144317.04+043113.7
8022076041857990769 3243857338309893504 SDSSJ033909.39-071653.7
8022076041857990769 876435703641656064 2MASSJ08051406+2925353
8022076041857990769 578917817194910720 2MASSJ09160205+0343492
8022076041857990769 5187922745238566912 2MASSJ02572586-0114271
8022076041857990769 577009034943618432 SDSSJ085958.52+020539.6
8022076041857990769 1389041871485249152 SDSSJ152359.75+402936.3
8022076041857990769 2534051904598910208 SDSSJ012615.00-000915.8
8022076041857990769 677491096208736384 SDSSJ081838.18+234231.2
8022076041857990769 675712193771436800 EPIC212020021
8022076041857990769 665133513225342592 SDSSJ084011.11+213835.8
8022076041857990769 1018384574637477504 SDSSJ093324.54+500020.9
8022076041857990769 853938282692958080 SDSSJ103417.70+563618.3
8022076041857990769 763582891023488896 SDSSJ111738.80+370925.3
8022076041857990769 3656853834351634816 SDSSJ143557.48+035743.8
8022076041857990769 2643083188461215872 SDSSJ234853.81+002911.3
8022076041857990769 606058510107825920 SDSSJ090942.07+130833.3
8022076041857990769 664197004197207168 SDSSJ082725.86+212503.8
8022076041857990769 679235544421287424 2MASSJ08190771+2422294
8022076041857990769 3854867666536547840 2MASSJ09432088+0834542
8022076041857990769 1322334462373967744 SDSSJ160733.16+320739.5
8022076041857990769 602682592800744448 SDSSJ083128.40+115620.8
8022076041857990769 3269936792048129792 2MASSJ03433898+0104332
8022076041857990769 3809250062971646464 2MASSJ10455472+0222465
8022076041857990769 6340579130103106944 TVLM868-44771
8022076041857990769 1305114705829984896 SDSSJ162827.52+271803.6
8022076041857990769 3704125756239140608 2MASSJ12460684+0410317
8022076041857990769 711628119049688064 2MASSJ09004149+3042185
8022076041857990769 918210754585473152 SDSSJ083724.96+453813.2
8022076041857990769 3658626728131632640 2MASSJ13525796-0203280
8022076041857990769 1293240117686733824 SDSSJ145724.98+350712.4
8022076041857990769 2499087091239633408 SDSSJ025235.01+005306.0
8022076041857990769 851534853354171008 SDSSJ100639.60+523514.5
8022076041857990769 3601397628944123136 SDSSJ120925.24-021745.2
8022076041857990769 706390251811753344 2MASSJ08433176+3028481
8022076041857990769 795127364228177920 SDSSJ095723.05+342134.9
8022076041857990769 3895185830213401472 2MASSJ12114677+0549533
8022076041857990769 3735626008461168000 SDSSJ125551.85+111201.0
8022076041857990769 614341607940491392 SDSSJ094643.51+125517.4
8022076041857990769 761203444782018304 SDSSJ110146.47+333357.7
8022076041857990769 775040626819119872 SDSSJ104924.88+375045.3
8022076041857990769 3925357700590086400 SDSSJ120147.39+161658.7
8022076041857990769 5169532794787361280 SDSSJ031541.19-062047.7
8022076041857990769 1013987009162914048 SDSSJ085328.06+474157.8
8022076041857990769 1046763661241205888 SDSSJ101130.10+590208.6
8022076041857990769 645075711010878080 SDSSJ093745.60+250809.4
8022076041857990769 3939791848721831680 SDSSJ131527.45+194927.7
8022076041857990769 3263966272110770304 SDSSJ033843.68+004541.3
8022076041857990769 920564426729147008 2MASSJ07551709+3932103
8022076041857990769 4414359385304896512 SDSSJ152954.58-020604.5
8022076041857990769 724744051521674496 SDSSJ104332.43+260146.8
8022076041857990769 927417751424619264 SDSSJ074657.70+464133.3
8022076041857990769 668998644491459456 2MASSJ08054657+1803351
8022076041857990769 3662398396612523264 SDSSJ134341.22+002128.5
8022076041857990769 1593144416813373824 SDSSJ150645.20+523435.3
8022076041857990769 1614435364268033920 SDSSJ150212.28+592214.4
8022076041857990769 688879287893918208 2MASSJ09080447+2602555
8022076041857990769 1615409939592785024 2MASSJ15212528+6008519
8022076041857990769 1287235719053266560 SDSSJ143107.36+324906.1
8022076041857990769 1602408180234595456 SDSSJ152812.12+573712.1
8022076041857990769 3197411252733743616 2MASSJ04042848-0532198
8022076041857990769 798979885469005312 2MASSJ09373699+3652384
8022076041857990769 5176023211925913472 2MASSJ02235038-0915058
8022076041857990769 690805941503532544 SDSSJ084943.67+252521.0
8022076041857990769 3998719487218612480 SDSSJ111420.17+275922.1
8022076041857990769 678594146889782272 2MASSJ08331479+2444367
8022076041857990769 851467061590400256 SDSSJ100706.73+521311.5
8022076041857990769 809751624792375040 SDSSJ100637.39+445324.1
8022076041857990769 628392954226629248 SDSSJ101017.14+200745.3
8022076041857990769 1018249201563678208 SDSSJ092711.76+500149.0
8022076041857990769 794194359893122048 2MASSJ09402418+3310507
8022076041857990769 704375770416176128 2MASSJ08371130+2814132
8022076041857990769 820592946881195904 2MASSJ09483278+4501260
8022076041857990769 806179655110548864 SDSSJ095744.39+390621.2
8022076041857990769 5179762723986659072 SDSSJ030624.01-074319.2
8022076041857990769 921409126538438784 2MASSJ08035915+4020107
8022076041857990769 1372082175209953024 2MASSJ16041087+3532173
8022076041857990769 693157453277769600 SDSSJ090157.87+282052.5
8022076041857990769 1038472136681121408 SDSSJ091245.15+590829.5
8022076041857990769 1058632884967237248 SDSSJ103714.79+642053.3
